headline,subheading,url
'Mutant coronavirus' seen before on mink farms,"The coronavirus mutation found in farmed mink in Denmark has arisen in the past, genetic data shows.",http://www.bbc.co.uk/news/science-environment-54867653
Why the UK's carbon-free future will need rules,Tackling climate change will need action right across society and the economy - with a host of new incentives.,http://www.bbc.co.uk/news/science-environment-54832236
What's the science behind mink and coronavirus?,"Denmark's mink-related coronavirus scare has caused alarm, but scientists urge caution.",http://www.bbc.co.uk/news/science-environment-54842643
Virgin Hyperloop tests first passenger journey,"The ""sci-fi"" travel concept involves travelling in pods inside vacuum tubes at very high speeds.",http://www.bbc.co.uk/news/technology-54838982
UK's nuclear future to be decided at key meeting,The government is committed to building nuclear power stations to decarbonise the UK's electricity.,http://www.bbc.co.uk/news/business-54867442
UK energy plant to use liquid air,"The 50MW facility near Manchester hopes to store enough power for roughly 50,000 homes.",http://www.bbc.co.uk/news/business-54841528
Eve Online: Game helps scientists research Covid-19,Gamers have completed 47 million mini-game tasks amounting to 36 years categorising cells.,http://www.bbc.co.uk/news/technology-54750594
Why the UK's carbon-free future will need rules,Tackling climate change will need action right across society and the economy - with a host of new incentives.,http://www.bbc.co.uk/news/science-environment-54832236
What's the science behind mink and coronavirus?,"Denmark's mink-related coronavirus scare has caused alarm, but scientists urge caution.",http://www.bbc.co.uk/news/science-environment-54842643
Virgin Hyperloop tests first passenger journey,"The ""sci-fi"" travel concept involves travelling in pods inside vacuum tubes at very high speeds.",http://www.bbc.co.uk/news/technology-54838982
